iter	Passed	Remaining
0	57	57167
1	57	28734
2	57	19231
3	58	14493
4	58	11626
5	58	9718
6	58	8355
7	59	7329
8	59	6533
9	59	5895
10	59	5374
11	60	4941
12	60	4574
13	60	4259
14	60	3986
15	60	3746
16	61	3535
17	61	3347
18	61	3178
19	61	3027
20	62	2890
21	62	2765
22	62	2651
23	62	2546
24	62	2450
25	63	2361
26	63	2279
27	63	2205
28	63	2134
29	63	2068
30	64	2005
31	64	1947
32	64	1892
33	64	1840
34	64	1791
35	65	1745
36	65	1703
37	65	1664
38	65	1625
39	66	1588
40	66	1552
41	66	1518
42	66	1487
43	67	1457
44	67	1427
45	67	1399
46	67	1372
47	67	1346
48	68	1321
49	68	1297
50	68	1274
51	68	1252
52	68	1230
53	69	1210
54	69	1190
55	69	1171
56	69	1152
57	69	1135
58	70	1117
59	70	1101
60	70	1085
61	70	1070
62	70	1055
63	71	1040
64	71	1026
65	71	1012
66	72	1007
67	72	994
68	72	981
69	72	969
70	73	957
71	73	946
72	73	934
73	73	923
74	74	912
75	74	902
76	74	891
77	74	881
78	74	872
79	75	862
80	75	853
81	75	843
82	75	833
83	75	824
84	75	816
85	76	808
86	76	799
87	76	791
88	76	784
89	76	776
90	76	769
91	77	761
92	77	754
93	77	747
94	77	740
95	77	734
96	78	727
97	78	720
98	78	714
99	78	708
100	78	702
101	79	696
102	79	690
103	79	684
104	79	679
105	79	674
106	80	668
107	80	663
108	80	657
109	80	652
110	80	647
111	81	642
112	81	637
113	81	632
114	81	628
115	81	624
116	82	619
117	82	614
118	82	610
119	82	606
120	82	601
121	82	596
122	83	593
123	83	589
124	83	585
125	83	581
126	84	577
127	84	573
128	84	569
129	84	566
130	84	562
131	84	558
132	85	555
133	85	551
134	85	548
135	85	544
136	85	541
137	86	538
138	86	534
139	86	531
140	86	528
141	86	524
142	87	521
143	87	518
144	87	516
145	87	513
146	87	510
147	88	507
148	88	504
149	88	501
150	88	499
151	88	496
152	89	493
153	89	490
154	89	487
155	89	485
156	89	482
157	90	480
158	90	477
159	90	475
160	90	472
161	90	469
162	90	467
163	91	464
164	91	462
165	91	459
166	91	457
167	91	455
168	92	453
169	92	450
170	92	448
171	92	446
172	92	444
173	93	442
174	93	439
175	93	437
176	93	435
177	93	433
178	94	431
179	94	429
180	94	427
181	94	425
182	94	423
183	95	421
184	95	419
185	95	417
186	95	416
187	95	414
188	96	412
189	96	410
190	96	408
191	96	406
192	96	405
193	97	403
194	97	401
195	97	399
196	97	398
197	97	396
198	98	394
199	98	393
200	98	391
201	98	389
202	98	388
203	99	386
204	99	384
205	99	383
206	99	381
207	99	380
208	100	378
209	100	377
210	100	375
211	100	374
212	100	372
213	101	371
214	101	369
215	101	368
216	101	366
217	101	365
218	101	363
219	102	362
220	102	360
221	102	359
222	102	357
223	102	356
224	103	354
225	103	353
226	103	352
227	103	351
228	103	349
229	104	348
230	104	347
231	104	346
232	104	344
233	104	343
234	105	342
235	105	340
236	105	339
237	105	338
238	105	337
239	106	335
240	106	334
241	106	333
242	106	332
243	106	331
244	107	329
245	107	328
246	107	327
247	107	326
248	107	325
249	108	324
250	108	323
251	108	321
252	108	320
253	108	319
254	109	318
255	109	317
256	109	316
257	109	315
258	109	314
259	110	313
260	110	312
261	110	311
262	110	310
263	111	309
264	111	308
265	111	307
266	111	306
267	111	305
268	112	304
269	112	303
270	112	302
271	112	301
272	112	300
273	113	299
274	113	298
275	113	297
276	113	296
277	113	295
278	113	294
279	114	293
280	114	292
281	114	291
282	114	290
283	114	289
284	115	288
285	115	287
286	115	287
287	115	286
288	115	285
289	116	284
290	116	283
291	116	282
292	116	281
293	116	280
294	117	279
295	117	278
296	117	278
297	117	277
298	117	276
299	118	275
300	118	274
301	118	274
302	118	273
303	119	272
304	119	271
305	119	270
306	119	270
307	119	269
308	120	268
309	120	267
310	120	266
311	120	265
312	120	265
313	120	264
314	121	263
315	121	262
316	121	261
317	121	261
318	121	260
319	122	259
320	122	258
321	122	257
322	122	257
323	122	256
324	123	255
325	123	254
326	123	254
327	123	253
328	123	252
329	124	251
330	124	251
331	124	250
332	124	249
333	124	248
334	124	248
335	125	247
336	125	246
337	125	245
338	125	245
339	125	244
340	126	243
341	126	242
342	126	242
343	126	241
344	126	241
345	127	240
346	127	239
347	127	238
348	127	238
349	127	237
350	128	236
351	128	236
352	128	235
353	128	235
354	129	234
355	129	233
356	129	233
357	129	232
358	129	231
359	130	231
360	130	230
361	130	229
362	130	229
363	130	228
364	131	228
365	131	227
366	131	226
367	131	226
368	131	225
369	132	224
370	132	224
371	132	223
372	132	222
373	132	222
374	133	221
375	133	221
376	133	220
377	133	220
378	133	219
379	134	218
380	134	218
381	134	217
382	134	217
383	134	216
384	135	215
385	135	215
386	135	214
387	135	214
388	136	213
389	136	213
390	136	212
391	136	211
392	136	211
393	137	210
394	137	210
395	137	209
396	137	209
397	137	208
398	137	207
399	138	207
400	138	206
401	138	206
402	138	205
403	139	205
404	139	204
405	139	203
406	139	203
407	139	202
408	139	202
409	140	201
410	140	201
411	140	200
412	140	200
413	140	199
414	141	198
415	141	198
416	141	197
417	141	197
418	141	196
419	142	196
420	142	195
421	142	195
422	142	194
423	142	194
424	143	193
425	143	193
426	143	192
427	143	191
428	143	191
429	144	190
430	144	190
431	144	189
432	144	189
433	144	188
434	144	188
435	145	187
436	145	187
437	145	186
438	145	186
439	145	185
440	146	185
441	146	184
442	146	184
443	146	183
444	146	183
445	147	182
446	147	182
447	147	181
448	147	181
449	147	180
450	148	180
451	148	179
452	148	179
453	148	178
454	148	178
455	149	177
456	149	177
457	149	176
458	149	176
459	149	175
460	149	175
461	150	174
462	150	174
463	150	174
464	150	173
465	151	173
466	151	172
467	151	172
468	151	171
469	152	171
470	152	170
471	152	170
472	152	170
473	152	169
474	153	169
475	153	168
476	153	168
477	153	167
478	153	167
479	154	166
480	154	166
481	154	165
482	154	165
483	154	165
484	155	164
485	155	164
486	155	163
487	155	163
488	155	162
489	156	162
490	156	161
491	156	161
492	156	161
493	156	160
494	157	160
495	157	159
496	157	159
497	157	158
498	157	158
499	157	157
500	158	157
501	158	157
502	158	156
503	158	156
504	158	155
505	159	155
506	159	154
507	159	154
508	159	153
509	159	153
510	159	153
511	160	152
512	160	152
513	160	151
514	160	151
515	160	150
516	161	150
517	161	150
518	161	149
519	161	149
520	161	148
521	162	148
522	162	148
523	162	147
524	162	147
525	162	146
526	163	146
527	163	145
528	163	145
529	163	145
530	163	144
531	164	144
532	164	143
533	164	143
534	164	143
535	164	142
536	165	142
537	165	141
538	165	141
539	165	141
540	165	140
541	166	140
542	166	140
543	166	139
544	166	139
545	167	138
